,Registered Voters,Years in Use
0,41817.0,8.104370970041943
1,181019.0,8.995600231731766
2,15697.0,8.104370970041943
3,14304.0,5.026092742510485
4,41217.0,8.104370970041941
5,6378.0,8.104370970041943
6,13239.0,8.104370970041943
7,76248.0,8.104370970041943
8,23993.0,6.000000000000001
9,19253.0,8.104370970041943
10,29744.0,8.104370970041943
11,9626.0,5.026092742510485
12,17266.0,8.104370970041943
13,10013.0,5.026092742510486
14,10868.0,8.104370970041945
15,34866.0,8.104370970041945
16,41966.0,8.104370970041943
17,8890.0,8.104370970041943
18,7769.0,8.104370970041943
19,26682.0,8.104370970041943
20,10016.0,8.104370970041941
21,62255.0,8.104370970041943
22,31939.0,8.104370970041943
23,26589.0,8.104370970041943
24,44267.0,5.026092742510486
25,59630.0,8.104370970041943
26,25243.0,8.104370970041943
27,71593.0,8.104370970041943
28,12201.0,8.104370970041943
29,18875.0,8.104370970041943
30,18717.0,8.104370970041943
31,6078.0,8.104370970041943
32,11349.0,8.104370970041943
33,13558.0,8.104370970041943
34,72803.0,8.104370970041943
35,37446.0,8.104370970041941
36,456566.0,7.037468489204197
37,10262.0,5.026092742510486
38,63972.0,8.104370970041945
39,24559.0,8.104370970041943
40,112126.0,8.104370970041943
41,76274.0,8.104370970041943
42,8817.0,8.104370970041943
43,13039.0,8.104370970041943
44,289328.0,9.042322326084097
45,14200.0,8.104370970041943
46,20913.0,8.104370970041943
47,62938.0,8.104370970041943
48,279250.0,6.023361047176165
49,14863.0,8.104370970041943
50,147798.0,7.95327790564767
51,82657.0,9.078278227531458
52,6941.0,8.104370970041943
53,12814.0,5.026092742510486
54,21081.0,8.104370970041943
55,16925.0,5.026092742510486
56,36546.0,8.104370970041943
57,68344.0,8.104370970041943
58,163963.0,8.149873956816787
59,8222.0,5.026092742510484
60,55291.0,10.052185485020972
61,29617.0,8.104370970041943
62,132901.0,8.103151862464456
63,45277.0,5.026092742510486
64,12683.0,8.104370970041945
65,8222.0,8.104370970041943
66,16803.0,8.104370970041943
67,565242.0,6.0
68,53735.0,9.927269765822022
69,82242.0,9.881357500907548
70,90681.0,5.999999999999999
71,34653.0,10.0
72,20714.0,10.000000000000002
73,4720.0,9.653977107087059
74,12351.0,8.0
75,2587196.0,6.0
76,147549.0,10.000000000000002
77,69315.0,6.908775441896846
78,662357.0,6.094781310548565
79,282639.0,3.952609344725718
80,31758.0,5.898776387102655
81,175210.0,4.18956262109713
82,111666.0,8.0
83,6396.0,9.999999999999998
84,7857.0,8.0
85,23560.0,6.0
86,147536.0,7.994472280959824
87,19476.0,10.0
88,3667.0,6.0
89,2343.0,8.0
90,13365.0,8.0
91,4383.0,9.999999999999998
92,8986.0,8.0
93,5251.0,8.0
94,14542.0,8.0
95,3860.0,10.0
96,8734.0,10.0
97,11304.0,5.999999999999999
98,43207.0,8.0
99,25754.0,8.0
100,16762.0,8.0
101,7505.0,8.0
102,3450.0,8.0
103,4354.0,5.999999999999999
104,7247.0,5.999999999999999
105,60824.0,7.989630252591131
106,7863.0,8.0
107,5808.0,6.0
108,48074.0,10.000000000000002
109,10686.0,8.0
110,17754.0,8.0
111,6912.0,8.0
112,14604.0,8.0
113,5336.0,8.0
114,16015.0,8.0
115,7605.0,8.0
116,5835.0,10.0
117,25021.0,8.0
118,9366.0,8.0
119,2822.0,8.0
120,6758.0,8.0
121,2954.0,5.999999999999999
122,3855.0,6.000000000000001
123,5826.0,8.0
124,8921.0,8.0
125,33954.0,8.0
126,9833.0,6.000000000000001
127,9319.0,8.0
128,17871.0,8.0
129,12762.0,6.0
130,3018.0,6.0
131,3759.0,8.0
132,3310.0,8.0
133,4295.0,5.999999999999999
134,8644.0,8.0
135,6164.0,8.0
136,5772.0,6.000000000000001
137,5065.0,8.0
138,8837.0,6.0
139,9555.0,8.0
140,27117.0,8.0
141,3857.0,8.0
142,177657.0,6.0
143,8072.0,10.0
144,7107.0,5.999999999999999
145,64705.0,6.000000000000001
146,4027.0,6.0
147,6171.0,6.000000000000001
148,53203.0,9.97630729768639
149,5511.0,8.0
150,9035.0,8.0
151,7551.0,5.999999999999999
152,14463.0,8.0
153,8972.0,6.0
154,111568.0,9.988666635100987
155,35990.0,10.0
156,2441.0,8.0
157,7676.0,10.0
158,960007.0,6.0
159,974.0,6.0
160,26906.0,4.020463848887292
161,127998.0,8.0
162,33710.0,6.0
163,10768.0,6.0
164,732340.0,8.0
165,15013.0,8.172393271714249
166,138274.0,6.0
167,525065.0,6.000000000000001
168,14314.0,8.177884595421627
169,83897.0,6.0
170,86841.0,2.1895626210971293
171,10772.0,8.0
172,464737.0,8.047390655274283
173,66256.0,6.0
174,37934.0,6.0
175,15234.0,6.0
176,5760725.0,6.00652216655254
177,80089.0,8.0
178,174698.0,6.0
179,11767.0,8.0
180,54639.0,5.999999999999999
181,134661.0,3.925063021591607
182,5129.0,6.0
183,7816.0,8.0
184,214883.0,6.047390655274282
185,85951.0,8.047390655274281
186,75626.0,6.0
187,1902064.0,6.000000000000001
188,295691.0,6.0
189,13834.0,6.0
190,1406690.0,5.390112163280383
191,907410.0,8.0
192,38459.0,8.0
193,1196235.0,5.999999999999999
194,1994663.0,6.0
195,535459.0,6.000000000000001
196,392755.0,6.000000000000001
197,186512.0,8.0
198,444652.0,6.0
199,250270.0,6.000000000000001
200,1064954.0,5.999999999999999
201,175080.0,6.000000000000001
202,117551.0,2.0
203,2240.0,6.0
204,27966.0,9.999999999999998
205,269515.0,6.0
206,313675.0,5.999999999999999
207,292333.0,5.999999999999999
208,54149.0,2.1443884847111976
209,38062.0,10.0
210,7565.0,6.000000000000001
211,223642.0,6.000000000000001
212,35554.0,6.0
213,525089.0,6.0
214,123431.0,6.0
215,44078.0,6.0
216,322636.0,10.0
217,10423.0,8.0
218,429655.0,10.0
219,11787.0,8.0
220,2588.0,9.999999999999998
221,2998.0,8.0
222,235603.0,8.0
223,56152.0,10.000000000000002
224,17009.0,10.0
225,1253.0,8.0
226,7609.0,10.0
227,5396.0,8.0
228,2976.0,8.0
229,2273.0,8.0
230,4673.0,8.0
