State,Weighted Years in Use
Louisiana,23.80857261729534
Oklahoma,14.000000000000002
Puerto Rico,13.895629029958057
Indiana,13.264634364303287
Northern Mariana Islands,13.240403247814747
Massachusetts,12.473910189403439
Tennessee,11.189427196281967
New Mexico,10.833775386616814
Maine,10.602609695056909
US Virgin Islands,10.052185485020972
District of Columbia,10.0
Maryland,9.999999999999998
New York,9.669869627733629
Colorado,8.709675038708582
Iowa,8.240916941494671
Arkansas,8.087341431947712
Michigan,8.0
Nevada,7.82201695740532
Alabama,7.8034303499578135
Minnesota,7.716197628288931
New Hampshire,7.438425609013438
Washington,7.377282928883402
South Dakota,7.368353494896254
Wisconsin,7.32628397267635
Rhode Island,7.223956350157463
Idaho,7.164061510314022
Virginia,7.017380468199374
Kansas,6.607009885906932
Missouri,6.314025729350491
West Virginia,6.302986846133217
North Carolina,6.241034382094482
Arizona,6.217604683843822
Wyoming,6.2102178227377545
Vermont,6.184764366045671
Florida,6.133500116396554
Nebraska,6.072280511385259
Oregon,6.05591393997123
Georgia,6.0
North Dakota,6.0
Alaska,6.0
Delaware,6.0
Montana,5.992991604162365
California,5.984474252701506
Pennsylvania,5.979804486439694
Guam,5.8735098289089285
Ohio,5.598388082445833
Mississippi,5.573003618635088
South Carolina,5.38984471518818
Kentucky,5.259090985903164
Illinois,5.257632366800169
Texas,5.235397799293585
Connecticut,4.983189210191286
Utah,4.9565671374958
New Jersey,4.137984806886987
Hawaii,4.0
